DATE,STATION,NAME,MONTH,MLY-PRCP-NORMAL,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-DUTR-NORMAL,MLY-DUTR-STDDEV,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-PRCP-50PCTL,MLY-PRCP-75PCTL,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-PRCP-NORMAL,MLY-SNOW-25PCTL,MLY-SNOW-50PCTL,MLY-SNOW-75PCTL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-NORMAL,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-SNWD-AVGNDS-GE010WI,MLY-TAVG-NORMAL,MLY-TAVG-STDDEV,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,DATE,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-GRTH100,DATE,MLY-TMAX-AVGNDS-LSTH032,MLY-TMAX-NORMAL,MLY-TMAX-STDDEV,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TMIN-NORMAL,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-TMIN-STDDEV
11,USW00094290,SEATTLE SAND PT WSFO,Nov,5.84,78,18,2,1,-7777,0,0,10.4,1.6,195,78,18,2,1,-7777,0,0,0,66,43,9,42,132,266,325,414,564,2.03,3.41,4.41,13.2,7.8,2,0.3,3.41,0,0,0,0.1,0.1,0.1,0,0,0.3,0.2,0,0,0,46.2,2.9,296,18.6,12,-7777,0,11,0,0,11,0.1,51.4,2.9,0,0,1,1.9,123,236,310,300,41,3,21,75,224,566,960,3
12,USW00094290,SEATTLE SAND PT WSFO,Dec,5.43,18,1,-7777,0,0,0,0,9.6,1.2,84,18,1,-7777,0,0,0,0,0,18,9,50,139,277,431,493,586,741,4.53,5.42,7.17,18.5,12.6,3.8,1,5.84,0,0,2,0.9,0.6,0.3,0.2,0,2.3,1.6,1,0.5,0,41.1,2.2,272,7.2,-7777,0,0,12,0,0,12,0.6,45.9,2.3,0,-7777,6,6.4,228,285,300,310,36.3,84,174,376,729,980,1000,2.3
1,USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT,Jan,190,103,50,35,18,1,-7777,,25.8,3.9,308,190,103,50,35,18,5,1,-7777,244,214,22,59,128,229,277,353,495,0.83,1.48,2.76,7.2,3.9,1.2,0.8,2.2,49.2,3,299,25.8,185,90,8,0,0,0,1,15,11.9,203,275,302,310,36.3,298,570,839,967,997,1000,2.9,,,,,,,,,,,,,,,,,,
2,USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT,Feb,228,132,68,49,29,3,1,,25.3,3.8,349,228,132,68,49,29,11,3,1,262,231,10,29,73,148,186,250,373,1,2,3.23,6.9,3.2,1.2,0.3,2.31,52.1,3.4,273,25.3,195,99,17,0.1,0,0,0,4,7.9,152,239,264,280,39.4,103,327,614,867,973,999,3.2,,,,,,,,,,,,,,,,,,
3,USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT,Mar,446,306,185,146,98,13,6,,25.2,2.7,596,446,306,185,146,98,42,13,6,428,385,1,6,21,55,77,123,222,1.68,2.61,3.82,9.7,4.5,1.9,0.9,2.78,59.2,3.1,310,30.5,275,194,56,0.2,0,0,0,1,2.2,96,198,270,308,46.6,10,73,242,494,761,928,3.6,,,,,,,,,,,,,,,,,,
4,USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT,Apr,668,519,373,318,240,53,32,,25.1,4,817,668,519,373,318,240,130,53,32,594,543,-7777,-7777,2,6,10,22,63,0.91,1.68,3.04,6.5,3.9,1.2,0.3,2.27,67.3,2.9,300,29.9,296,277,167,1.3,0.2,0,0,0,0.2,26,99,193,287,54.7,0,0,0,48,189,453,4.1,,,,,,,,,,,,,,,,,,
5,USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT,May,936,781,626,564,471,181,134,,23,2.3,1091,936,781,626,564,471,319,181,134,804,744,0,0,0,-7777,-7777,-7777,3,1.73,3.85,6.12,6.2,3.9,1.8,1,4.05,75.2,2.4,310,31,310,309,273,9.3,0,0,0,0,0,1,15,89,250,63.7,0,0,0,0,0,0,2.5,,,,,,,,,,,,,,,,,,
6,USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT,Jun,1081,931,781,721,631,331,272,,22.3,2.8,1231,1081,931,781,721,631,481,331,272,894,834,0,0,0,0,0,0,-7777,2.28,3.68,6.65,6.6,4.7,2.7,1.2,4.63,81,2.2,300,30,300,300,297,20.6,1.4,0,0,0,0,0,0,5,158,69.9,0,0,0,0,0,0,1.9,,,,,,,,,,,,,,,,,,
7,USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT,Jul,1192,1037,882,820,727,417,355,,23.5,3.1,1347,1192,1037,882,820,727,572,417,355,955,893,0,0,0,0,0,0,0,0.97,2.21,3.2,6.9,4.8,1.7,0.8,2.44,83.4,1.9,310,31,310,310,308,26.7,5.6,0,0,0,0,0,0,0,83,71.7,0,0,0,0,0,0,1.3,,,,,,,,,,,,,,,,,,
8,USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT,Aug,1199,1044,889,827,735,425,363,,24.9,1.8,1354,1199,1044,889,827,735,580,425,363,948,886,0,0,0,0,0,0,0,0.74,1.74,2.58,5.6,3.4,1.5,0.5,2.03,83.7,1.6,310,31,310,310,307,28.9,4.9,0,0,0,0,0,0,2,92,71.3,0,0,0,0,0,0,1.4,,,,,,,,,,,,,,,,,,
9,USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT,Sep,985,835,685,625,536,246,193,,25.1,3.2,1136,985,835,685,625,536,388,246,193,813,754,0,0,-7777,-7777,-7777,-7777,2,0.77,1.95,4.06,5.8,4,1.5,0.9,2.54,77.8,2,300,30,300,298,278,16.8,1.3,0,0,0,0,0,11,57,226,65.3,0,0,0,0,0,0,2.5,,,,,,,,,,,,,,,,,,
10,USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT,Oct,745,591,438,379,295,83,56,,26.4,4.8,901,745,591,438,379,295,175,83,56,649,595,0,-7777,-7777,3,5,15,49,1.57,3.15,6.5,7.1,4.8,2.2,1.4,4.24,69,1.9,310,31,308,286,202,5.3,0,0,0,0,0,16,96,199,284,55.9,0,0,3,25,96,264,3.7,,,,,,,,,,,,,,,,,,
11,USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT,Nov,412,281,172,136,91,12,7,,25.8,3.3,555,412,281,172,136,91,38,12,7,403,362,1,8,28,68,92,137,234,1.04,2.56,3.78,7.1,3.6,1.6,0.7,2.94,58.4,2.9,299,29.2,258,180,65,0.1,0,0,0,1,3.2,102,198,269,297,45.5,2,46,216,530,819,969,2.9,,,,,,,,,,,,,,,,,,
12,USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT,Dec,208,119,63,47,29,2,1,,26.4,3.6,335,208,119,63,47,29,10,2,1,268,234,13,40,106,205,251,326,462,0.51,0.91,2.96,6.6,3.2,1.4,0.4,2.21,50.4,3.5,304,28.5,194,96,16,0,0,0,0,1,11.5,206,271,300,309,37.2,246,499,777,941,991,999,4,,,,,,,,,,,,,,,,,,
