Country,Region,Group,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Netherlands ,WESTERN EUROPE                     ,Group 2,16491461,41526,397.1,1.09,2.91,5.04,28600,99,460.8,26.71,0.97,72.32,3,10.9,8.68,0.021,0.244,0.736
Netherlands Antilles ,LATIN AMER. & CARIB    ,Group 2,221736,960,231,37.92,-0.41,10.03,11400,96.7,365.3,10,0,90,2,14.78,6.45,0.01,0.15,0.84
New Caledonia ,OCEANIA                            ,Group 2,219246,19060,11.5,11.83,0,7.72,15000,91,252.2,0.38,0.33,99.29,2,18.11,5.69,0.15,0.088,0.762
New Zealand ,OCEANIA                            ,Group 2,4076140,268680,15.2,5.63,4.05,5.85,21600,99,441.7,5.6,6.99,87.41,3,13.76,7.53,0.043,0.273,0.684
Nicaragua ,LATIN AMER. & CARIB    ,Group 2,5570129,129494,43,0.7,-1.22,29.11,2300,67.5,39.7,15.94,1.94,82.12,2,24.51,4.45,0.165,0.275,0.56
Niger ,SUB-SAHARAN AFRICA                 ,Group 2,12525094,1267000,9.9,0,-0.67,121.69,800,17.6,1.9,3.54,0.01,96.45,1,50.73,20.91,0.39,0.17,0.44
Nigeria ,SUB-SAHARAN AFRICA                 ,Group 2,131859731,923768,142.7,0.09,0.26,98.8,900,68,9.3,31.29,2.96,65.75,1.5,40.43,16.94,0.269,0.487,0.244
N. Mariana Islands ,OCEANIA                            ,Group 2,82459,477,172.9,310.69,9.61,7.11,12500,97,254.7,13.04,4.35,82.61,2,19.43,2.29,,,
Norway ,WESTERN EUROPE                     ,Group 2,4610820,323802,14.2,7.77,1.74,3.7,37800,100,461.7,2.87,0,97.13,3,11.46,9.4,0.021,0.415,0.564
Oman ,NEAR EAST                          ,Group 2,3102229,212460,14.6,0.98,0.28,19.51,13100,75.8,85.5,0,0.14,99.74,1,36.24,3.81,0.027,0.39,0.583
Pakistan ,ASIA (EX. NEAR EAST)         ,Group 2,165803560,803940,206.2,0.13,-2.77,72.44,2100,45.7,31.8,27.87,0.87,71.26,1,29.74,8.23,0.216,0.251,0.533
Palau ,OCEANIA                            ,Group 2,20579,458,44.9,331.66,2.85,14.84,9000,92,325.6,8.7,4.35,86.95,2,18.03,6.8,0.062,0.12,0.818
Panama ,LATIN AMER. & CARIB    ,Group 2,3191319,78200,40.8,3.18,-0.91,20.47,6300,92.6,137.9,7.36,1.98,90.66,2,21.74,5.36,0.068,0.156,0.776
Papua New Guinea ,OCEANIA                            ,Group 2,5670544,462840,12.3,1.11,0,51.45,2200,64.6,10.9,0.46,1.44,98.1,2,29.36,7.25,0.353,0.381,0.266
Paraguay ,LATIN AMER. & CARIB    ,Group 2,6506464,406750,16,0,-0.08,25.63,4700,94,49.2,7.6,0.23,92.17,2,29.1,4.49,0.224,0.207,0.569
Peru ,LATIN AMER. & CARIB    ,Group 2,28302603,1285220,22,0.19,-1.05,31.94,5100,90.9,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65
Philippines ,ASIA (EX. NEAR EAST)         ,Group 2,89468677,300000,298.2,12.1,-1.5,23.51,4600,92.6,38.4,18.95,16.77,64.28,2,24.89,5.41,0.144,0.326,0.53
Poland ,EASTERN EUROPE                     ,Group 2,38536869,312685,123.3,0.16,-0.49,8.51,11100,99.8,306.3,45.91,1.12,52.97,3,9.85,9.89,0.05,0.311,0.64
Portugal ,WESTERN EUROPE                     ,Group 2,10605870,92391,114.8,1.94,3.57,5.05,18000,93.3,399.2,21.75,7.81,70.44,3,10.72,10.5,0.053,0.274,0.673
